start,end,day_count
2020-10-23T00:00:00.000Z,2020-10-24T00:00:00.000Z,10157
2020-10-24T00:00:00.000Z,2020-10-25T00:00:00.000Z,7638
2020-10-25T00:00:00.000Z,2020-10-26T00:00:00.000Z,6704
2020-10-26T00:00:00.000Z,2020-10-27T00:00:00.000Z,8322
2020-10-27T00:00:00.000Z,2020-10-28T00:00:00.000Z,11325
2020-10-28T00:00:00.000Z,2020-10-29T00:00:00.000Z,11337
2020-10-29T00:00:00.000Z,2020-10-30T00:00:00.000Z,9693
2020-08-29T00:00:00.000Z,2020-08-30T00:00:00.000Z,30768
2020-08-30T00:00:00.000Z,2020-08-31T00:00:00.000Z,29124
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,23487
2020-09-01T00:00:00.000Z,2020-09-02T00:00:00.000Z,20898
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,18338
2020-09-03T00:00:00.000Z,2020-09-04T00:00:00.000Z,20416
2020-09-04T00:00:00.000Z,2020-09-05T00:00:00.000Z,16858
2020-09-05T00:00:00.000Z,2020-09-06T00:00:00.000Z,18989
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,16382
2020-09-07T00:00:00.000Z,2020-09-08T00:00:00.000Z,15858
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,15027
2020-09-09T00:00:00.000Z,2020-09-10T00:00:00.000Z,13907
2020-09-10T00:00:00.000Z,2020-09-11T00:00:00.000Z,13507
2020-09-11T00:00:00.000Z,2020-09-12T00:00:00.000Z,17541
2020-09-12T00:00:00.000Z,2020-09-13T00:00:00.000Z,12830
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,20213
2020-09-14T00:00:00.000Z,2020-09-15T00:00:00.000Z,15748
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,13902
2020-09-16T00:00:00.000Z,2020-09-17T00:00:00.000Z,11037
2020-09-17T00:00:00.000Z,2020-09-18T00:00:00.000Z,11995
2020-09-18T00:00:00.000Z,2020-09-19T00:00:00.000Z,10067
2020-09-19T00:00:00.000Z,2020-09-20T00:00:00.000Z,9070
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,9369
2020-09-21T00:00:00.000Z,2020-09-22T00:00:00.000Z,9601
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,9722
2020-09-23T00:00:00.000Z,2020-09-24T00:00:00.000Z,23346
2020-09-24T00:00:00.000Z,2020-09-25T00:00:00.000Z,30097
2020-09-25T00:00:00.000Z,2020-09-26T00:00:00.000Z,15414
2020-09-26T00:00:00.000Z,2020-09-27T00:00:00.000Z,11722
2020-09-27T00:00:00.000Z,2020-09-28T00:00:00.000Z,9866
2020-09-28T00:00:00.000Z,2020-09-29T00:00:00.000Z,8943
2020-07-29T00:00:00.000Z,2020-07-30T00:00:00.000Z,19929
2020-07-30T00:00:00.000Z,2020-07-31T00:00:00.000Z,19421
2020-07-31T00:00:00.000Z,2020-08-01T00:00:00.000Z,19932
2020-08-01T00:00:00.000Z,2020-08-02T00:00:00.000Z,17626
2020-08-02T00:00:00.000Z,2020-08-03T00:00:00.000Z,16562
2020-08-03T00:00:00.000Z,2020-08-04T00:00:00.000Z,17219
2020-08-04T00:00:00.000Z,2020-08-05T00:00:00.000Z,21475
2020-08-05T00:00:00.000Z,2020-08-06T00:00:00.000Z,16128
2020-08-06T00:00:00.000Z,2020-08-07T00:00:00.000Z,14948
2020-08-07T00:00:00.000Z,2020-08-08T00:00:00.000Z,14058
2020-08-08T00:00:00.000Z,2020-08-09T00:00:00.000Z,11806
2020-08-09T00:00:00.000Z,2020-08-10T00:00:00.000Z,11945
2020-08-10T00:00:00.000Z,2020-08-11T00:00:00.000Z,14977
2020-08-11T00:00:00.000Z,2020-08-12T00:00:00.000Z,14706
2020-08-12T00:00:00.000Z,2020-08-13T00:00:00.000Z,12961
2020-08-13T00:00:00.000Z,2020-08-14T00:00:00.000Z,12935
2020-08-14T00:00:00.000Z,2020-08-15T00:00:00.000Z,13358
2020-08-15T00:00:00.000Z,2020-08-16T00:00:00.000Z,11518
2020-08-16T00:00:00.000Z,2020-08-17T00:00:00.000Z,11281
2020-08-17T00:00:00.000Z,2020-08-18T00:00:00.000Z,13802
2020-08-18T00:00:00.000Z,2020-08-19T00:00:00.000Z,14620
2020-08-19T00:00:00.000Z,2020-08-20T00:00:00.000Z,14125
2020-08-20T00:00:00.000Z,2020-08-21T00:00:00.000Z,14299
2020-08-21T00:00:00.000Z,2020-08-22T00:00:00.000Z,11768
2020-08-22T00:00:00.000Z,2020-08-23T00:00:00.000Z,11584
2020-08-23T00:00:00.000Z,2020-08-24T00:00:00.000Z,10895
2020-08-24T00:00:00.000Z,2020-08-25T00:00:00.000Z,47523
2020-08-25T00:00:00.000Z,2020-08-26T00:00:00.000Z,35217
2020-08-26T00:00:00.000Z,2020-08-27T00:00:00.000Z,52894
2020-08-27T00:00:00.000Z,2020-08-28T00:00:00.000Z,74461
2020-08-28T00:00:00.000Z,2020-08-29T00:00:00.000Z,49194
2020-06-28T00:00:00.000Z,2020-06-29T00:00:00.000Z,34711
2020-06-29T00:00:00.000Z,2020-06-30T00:00:00.000Z,38734
2020-06-30T00:00:00.000Z,2020-07-01T00:00:00.000Z,37024
2020-07-01T00:00:00.000Z,2020-07-02T00:00:00.000Z,35685
2020-07-02T00:00:00.000Z,2020-07-03T00:00:00.000Z,34947
2020-07-03T00:00:00.000Z,2020-07-04T00:00:00.000Z,30056
2020-07-04T00:00:00.000Z,2020-07-05T00:00:00.000Z,33911
2020-07-05T00:00:00.000Z,2020-07-06T00:00:00.000Z,32726
2020-07-06T00:00:00.000Z,2020-07-07T00:00:00.000Z,31837
2020-07-07T00:00:00.000Z,2020-07-08T00:00:00.000Z,29472
2020-07-08T00:00:00.000Z,2020-07-09T00:00:00.000Z,28866
2020-07-09T00:00:00.000Z,2020-07-10T00:00:00.000Z,30170
2020-07-10T00:00:00.000Z,2020-07-11T00:00:00.000Z,23462
